transaction_id,user_id,timestamp,amount,merchant,location,latitude,longitude,is_fraud,fraud_type
TXN000319,USER0009,2025-08-30 17:39:54,32.07,Shell Gas Station,"Los Angeles, CA",34.0522,-118.2437,False,
TXN000732,USER0020,2025-08-30 17:57:54,119.53,Hilton Hotels,"Atlanta, GA",33.749,-84.388,False,
TXN000282,USER0008,2025-08-30 19:45:54,94.89,Shell Gas Station,"Atlanta, GA",33.749,-84.388,False,
TXN001205,USER0031,2025-08-30 23:05:54,21.85,CVS Pharmacy,"Seattle, WA",47.6062,-122.3321,False,
TXN000663,USER0018,2025-08-30 23:33:54,43.56,Target,"San Francisco, CA",37.7749,-122.4194,False,
TXN001794,USER0046,2025-08-30 23:38:54,26.38,Best Buy,"Atlanta, GA",33.749,-84.388,False,
TXN001675,USER0043,2025-08-31 00:26:54,22.88,CVS Pharmacy,"Miami, FL",25.7617,-80.1918,False,
TXN000664,USER0018,2025-08-31 01:34:54,39.86,Local Restaurant,"San Francisco, CA",37.7749,-122.4194,False,
TXN000733,USER0020,2025-08-31 03:26:54,24.68,Chipotle,"Atlanta, GA",33.749,-84.388,False,
TXN001955,USER0050,2025-08-31 03:30:54,24.27,McDonald's,"Seattle, WA",47.6062,-122.3321,False,
TXN001913,USER0049,2025-08-31 04:39:54,36.52,Uber,"Los Angeles, CA",34.0522,-118.2437,False,
TXN001676,USER0043,2025-08-31 05:25:54,19.14,Delta Airlines,"Los Angeles, CA",34.0522,-118.2437,False,
TXN001795,USER0046,2025-08-31 11:59:54,40.09,Hilton Hotels,"Miami, FL",25.7617,-80.1918,False,
TXN001586,USER0041,2025-08-31 14:25:54,23.6,Starbucks,"Seattle, WA",47.6062,-122.3321,False,
TXN000283,USER0008,2025-08-31 15:26:54,102.68,Delta Airlines,"San Francisco, CA",37.7749,-122.4194,False,
TXN000502,USER0014,2025-08-31 15:27:54,355.28,Chipotle,"Los Angeles, CA",34.0522,-118.2437,False,
TXN000702,USER0019,2025-08-31 16:07:54,58.2,Netflix,"New York, NY",40.7128,-74.006,False,
TXN000284,USER0008,2025-08-31 18:34:54,315.21,Shell Gas Station,"Atlanta, GA",33.749,-84.388,False,
TXN001510,USER0039,2025-08-31 19:10:54,46.21,Best Buy,"Los Angeles, CA",34.0522,-118.2437,False,
TXN001677,USER0043,2025-08-31 19:25:54,199.42,Whole Foods,"Miami, FL",25.7617,-80.1918,False,
TXN001956,USER0050,2025-08-31 22:29:54,312.79,Delta Airlines,"Atlanta, GA",33.749,-84.388,False,
TXN001636,USER0042,2025-08-31 23:13:54,42.08,Starbucks,"San Francisco, CA",37.7749,-122.4194,False,
TXN000285,USER0008,2025-09-01 02:09:54,285.48,Chipotle,"Atlanta, GA",33.749,-84.388,False,
TXN001353,USER0035,2025-09-01 02:36:54,103.27,Whole Foods,"Seattle, WA",47.6062,-122.3321,False,
TXN001678,USER0043,2025-09-01 03:13:54,23.99,Local Grocery,"Miami, FL",25.7617,-80.1918,False,
